Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Electrical System Separation (Islanding),2012,3/29/2012,12:01 PM,3/29/2012,12:02 PM,Lansing Board of Water & Light,"Lansing, Michigan",RFC,UNK,0,islanding
Suspected Physical Attack,2012,3/28/2012,10:17 AM,3/28/2012,10:17 AM,Tacoma Power (TPWR),"Graham, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2012,3/26/2012,1:24 PM,3/26/2012,1:24 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2012,3/23/2012,7:34 PM,3/23/2012,7:34 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Severe Weather - Thunderstorms,2012,3/20/2012,8:00 AM,3/20/2012,1:00 PM,CenterPoint Energy,"Houston, Texas",TRE,N/A,96000,"severe weather, thunderstorm"
Suspected Physical Attack,2012,3/16/2012,4:00 PM,3/16/2012,4:00 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,3/4/2012,1:38 PM,3/5/2012,11:00 AM,Entergy Corporation,Texas,SERC,UNK,UNK,"vandalism, physical"
Suspected Physical Attack,2012,3/4/2012,1:27 AM,3/4/2012,6:58 AM,Potomac Electric Power (Pepco Holdings Inc.),"Prince Georges County, Maryland",RFC,N/A,N/A,"vandalism, physical"
Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/4/2012,5:30 PM,Consumers Energy,"Lower Peninsula, Michigan",RFC,50,140000,"severe weather, winter storm"
Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/5/2012,4:30 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeastern, Michigan",RFC,371,130000,"severe weather, winter storm"
Operational Failure/Equipment Malfunction,2012,3/2/2012,1:45 PM,3/2/2012,3:30 PM,"City of Piggott, Arkansas","Piggott, Arkansas",SERC,N/A,N/A,equipment failure
Severe Weather - Tornadoes,2012,3/2/2012,12:37 PM,3/5/2012,12:01 PM,Tennessee Valley Authority (TVA),Northern Alabama; Southeast Tennessee,SERC,500,UNK,"severe weather, tornado"
Suspected Physical Attack,2012,2/28/2012,7:00 AM,2/28/2012,7:00 AM,Coos Curry Electric Cooperative,Coos County Oregon,WECC,UNK,UNK,"vandalism, physical"
Electrical System Separation (Islanding),2012,2/28/2012,2:59 AM,2/28/2012,6:12 AM,Pacific Gas and Electric,"Sacramento, California",WECC,1,1,islanding
Suspected Physical Attack,2012,2/24/2012,11:24 AM,2/24/2012,11:49 AM,Tacoma Power (TPWR),"Spanaway, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2012,2/23/2012,5:45 AM,2/23/2012,3:02 PM,City of College Station,"South East College Station, Texas",TRE,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/23/2012,11:12 PM,2/24/2012,1:00 AM,ISO New England,"Londonderry, New Hampshire",NPCC,0,0,"vandalism, physical"
Severe Weather - Winter Storm,2012,2/19/2012,5:00 PM,2/21/2012,7:33 AM,American Electric Power,"Kentucky, Virginia, West Virginia",SERC,UNK,90000,"severe weather, winter storm"
Suspected Cyber Attack,2012,2/17/2012,3:00 AM,2/17/2012,11:33 AM,"Entergy Services, Inc","Little Rock, Arkansas",SERC,UNK,UNK,"vandalism, cyber"
Suspected Physical Attack,2012,2/15/2012,5:33 AM,2/15/2012,5:30 PM,Puget Sound Energy,"Port Orchard, Washington",WECC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/14/2012,7:20 PM,2/15/2012,4:00 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2012,2/13/2012,7:02 AM,2/13/2012,4:25 PM,Progress Energy Carolinas,"Asheville, North Carolina",SERC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2012,2/11/2012,8:47 AM,2/11/2012,10:30 AM,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",WECC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/11/2012,8:55 AM,2/11/2012,8:55 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2012,1/29/2012,12:45 PM,1/29/2012,12:45 PM,Tacoma Power (TPWR),"Roosevelt Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Vandalism,2012,1/27/2012,9:40 AM,1/27/2012,9:40 AM,Tacoma Power (TPWR),"Frederickson Substation, Spanaway, Washington",WECC,N/A,N/A,vandalism
Vandalism,2012,1/24/2012,11:22 AM,1/24/2012,11:22 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,vandalism
Severe Weather - Winter Storm,2012,1/19/2012,7:00 AM,1/20/2012,3:00 PM,Puget Sound Energy,"King, Pierce and Thurston Counties, Washington",WECC,1600,426000,"severe weather, winter storm"
Suspected Cyber Attack,2012,1/17/2012,10:31 AM,1/17/2012,5:21 PM,"Pedernales Electric Cooperative, Inc.","Austin, Texas",TRE,N/A,0,"vandalism, cyber"
Vandalism,2012,1/15/2012,9:35 AM,1/15/2012,9:35 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,vandalism
Physical Attack,2012,1/13/2012,9:20 AM,1/13/2012,9:20 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,1/12/2012,8:26 AM,1/12/2012,8:26 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,1/11/2012,7:19 AM,1/11/2012,9:07 AM,Nevada Power Company (NV Energy),Nevada,WECC,0,0,"vandalism, physical"
Load Shed,2012,1/10/2012,9:30 PM,1/10/2012,9:30 PM,Luminant Energy Company LLC,"Rusk County, Texas",TRE,N/A,N/A,load shedding
Vandalism,2012,1/9/2012,2:30 PM,1/9/2012,3:30 PM,ISO New England/Convex,"Watertown, Connecticut",NPCC,N/A,N/A,vandalism
Load Shed,2012,1/9/2012,1:36 PM,1/11/2012,1:05 AM,The Dow Chemical Company,Louisiana,SERC,150,1,load shedding
Sabotage,2012,1/5/2012,10:35 AM,1/5/2012,12:25 PM,American Electric Power,"CSWS/AEP West territory, Oklahoma",SPP,0,0,vandalism
Suspected physical attack,2012,1/5/2012,10:28 AM,1/5/2012,12:25 PM,Oklahoma Gas and Electric,"Creek County, Oklahoma",SPP,N/A,N/A,"vandalism, physical"
Suspected physical attack,2012,1/4/2012,12:14 PM,1/4/2012,12:14 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2011,12/31/2011,9:26 PM,12/31/2011,9:26 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Cyber Attack,2011,12/21/2011,10:30 AM,12/21/2011,10:30 AM,Idaho Power Company,"Boise, Idaho",WECC,0,0,"vandalism, cyber"
Suspected Physical Attack,2011,12/20/2011,9:30 AM,12/20/2011,9:31 AM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2011,12/20/2011,7:45 AM,12/20/2011,8:45 AM,PacifiCorp,"Sweet Home, Oregon",WECC,12,2500,"vandalism, physical"
Suspected Physical Attack,2011,12/19/2011,8:48 AM,12/19/2011,4:00 PM,City of Tacoma (TPWR),"Croft Substation, Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2011,12/13/2011,3:19 AM,12/14/2011,3:19 AM,Dayton Power & Light,Clinton County Ohio,RFC,N/A,0,"vandalism, physical"
Suspected Physical Attack,2011,12/8/2011,8:45 AM,12/8/2011,4:30 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Severe Weather,2011,12/7/2011,7:29 PM,12/7/2011,10:57 PM,Dominion Virginia Power,Central Virginia,SERC,240,60000,severe weather
Public Appeal to Reduce Electricity Usage,2011,12/6/2011,8:00 AM,12/6/2011,8:00 PM,Montana Dakota Utilities,"Bismarck-Mandan, North Dakota",MRO,155,34500,public appeal
Suspected Physical Attack,2011,12/6/2011,5:38 PM,12/7/2011,11:04 AM,ITC Holdings,"Montague, Michigan",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,12/5/2011,2:00 PM,12/6/2011,5:00 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2011,12/2/2011,4:15 PM,12/2/2011,8:30 PM,Luminant Energy Company LLC,Rusk County Texas,TRE,N/A,N/A,"vandalism, physical"
Severe Weather,2011,12/1/2011,12:45 AM,12/7/2011,9:00 PM,Southern California Edison (SCE),Southern California,WECC,UNK,91690,severe weather
Severe Weather,2011,12/1/2011,10:00 AM,12/2/2011,1:11 PM,PacifiCorp,Wasatch Front Area Utah,WECC,UNK,60000,severe weather
Severe Weather,2011,12/1/2011,3:29 AM,12/2/2011,1:05 PM,Pacific Gas and Electric,Northern California,WECC,300,100000,severe weather
Vandalism,2011,11/30/2011,10:00 AM,11/30/2011,11:00 AM,City of Tacoma - TPWR,"Orchard Substation, Washington",WECC,0,0,vandalism
Severe Weather,2011,11/30/2011,4:56 PM,12/2/2011,10:00 AM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,UNK,150000,severe weather
Suspected Physical Attack,2011,11/22/2011,11:16 PM,11/22/2011,11:16 PM,Northern Indiana Public Service Co,Indiana,RFC,0,0,"vandalism, physical"
Vandalism,2011,11/14/2011,2:24 PM,11/14/2011,2:24 PM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
Vandalism,2011,11/13/2011,11:30 AM,11/13/2011,12:00 PM,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0,vandalism
Vandalism,2011,11/4/2011,10:46 AM,11/4/2011,10:46 AM,PacifiCorp,"Sweetwater County, Wyoming",WECC,0,0,vandalism
Severe Weather,2011,10/29/2011,12:57 PM,11/3/2011,11:00 PM,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,UNK,146721,severe weather
Severe Weather,2011,10/29/2011,4:16 PM,11/2/2011,9:30 PM,"Consolidated Edison Company of NY, Inc",New York City area,NPCC,UNK,50000,severe weather
Severe Weather,2011,10/29/2011,8:00 PM,10/31/2011,8:00 PM,"Orange and Rockland Utilities, Inc",New Jersey; New York,"NPCC, RFC",N/A,74000,severe weather
Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,7:58 PM,Metropolitan Edison Company,Pennsylvania,RFC,UNK,312359,severe weather
Severe Weather,2011,10/29/2011,4:14 PM,11/7/2011,4:00 PM,ISO New England,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,NPCC,UNK,"1,418,100",severe weather
Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,3:00 PM,Potomac Edison,Pennsylvania,RFC,UNK,50000,severe weather
Severe Weather,2011,10/29/2011,2:00 PM,10/31/2011,14:00,Exelon Corporation/PECO,Southeast Pennsylvania,RFC,UNK,109335,severe weather
Severe Weather,2011,10/29/2011,9:59 AM,11/7/2011,1:00 PM,Jersey Central Power & Light Company,Northwest and Central New Jersey,RFC,UNK,379000,severe weather
Severe Weather,2011,10/29/2011,2:30 PM,11/6/2011,12:00 PM,Public Service Electric and Gas Company,New Jersey,RFC,125,197000,severe weather
Severe Weather,2011,10/29/2011,3:00 PM,11/2/2011,8:15 AM,Central Hudson Gas & Electric Corp.,"Mid-Hudson Valley Region, New York",NPCC,N/A,145000,severe weather
Severe Weather,2011,10/29/2011,11:18 AM,11/4/2011,12:00 AM,New York State Elec & Gas Corp,Southeast New York,NPCC,UNK,161151,severe weather
Vandalism,2011,10/27/2011,1:00 AM,10/27/2011,2:36 AM,Midwest ISO,"Munster, Indiana",RFC,N/A,N/A,vandalism
Severe Weather,2011,10/26/2011,5:00 AM,10/27/2011,3:00 PM,Public Service Company of Colorado,"Denver; Ft. Collins, Colorado",WECC,UNK,204000,severe weather
Suspected Physical Attack,2011,10/24/2011,11:37 PM,10/26/2011,11:00 PM,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
Vandalism,2011,10/20/2011,7:15 AM,10/20/2011,7:15 AM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
Suspected Physical Attack,2011,10/18/2011,3:45 AM,10/18/2011,5:25 AM,PECO Energy,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
Vandalism,2011,10/17/2011,3:44 PM,10/17/2011,3:44 PM,Duke Energy,Southwest Ohio,RFC,7,2000,vandalism
Vandalism,2011,10/17/2011,3:34 AM,10/17/2011,10:42 AM,Potomac Electric Power Company,"Seat Pleasant, Maryland",RFC,0,0,vandalism
Vandalism,2011,10/14/2011,2:20 PM,10/14/2011,2:20 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
Suspected Physical Attack,2011,10/7/2011,8:04 AM,10/7/2011,4:00 PM,City of Tacoma - TPWR,"Olympic Pipeline, Spanaway, Washington",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2011,10/6/2011,11:07 AM,10/6/2011,11:07 AM,PacifiCorp,"Oquirrh Substation, Utah",WECC,0,0,vandalism
Suspected Physical Attack,2011,9/30/2011,8:22 AM,9/30/2011,8:22 AM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/29/2011,6:44 PM,9/30/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Severe Weather,2011,9/29/2011,5:00 AM,9/30/2011,6:00 AM,CenterPoint Energy,"Houston metro area, Texas",TRE,N/A,65000,severe weather
Suspected Physical Attack,2011,9/28/2011,4:41 PM,9/28/2011,4:41 PM,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/28/2011,2:59 PM,9/28/2011,2:59 PM,Atlantic City Electric,"Dorothy, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/28/2011,9:30 AM,9/28/2011,1:00 PM,ISO New England/Convex,"Watertown, Connecticut",NPCC,N/A,N/A,vandalism
Vandalism,2011,9/26/2011,10:15 AM,9/26/2011,10:15 AM,Atlantic City Electric,"McKee City, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/24/2011,4:17 PM,9/25/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,9/23/2011,9:04 AM,9/23/2011,9:04 AM,The United Illuminating Company,"North Haven, Connecticut",NPCC,0,0,vandalism
Vandalism,2011,9/22/2011,2:50 PM,9/22/2011,2:51 PM,Dayton Power & Light,"Montgomery County, Ohio",RFC,N/A,0,vandalism
Generation Inadequacy; Load Shed,2011,9/21/2011,2:37 PM,9/21/2011,3:47 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,319616,load shedding
Suspected Physical Attack,2011,9/21/2011,10:30 AM,9/21/2011,10:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/20/2011,12:55 PM,9/20/2011,5:00 PM,City of Tacoma (TPWR),"Lacamas Substaion, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,9/14/2011,9:00 AM,9/14/2011,2:00 PM,PacifiCorp,"Salt Lake County, Utah",WECC,0,0,vandalism
Vandalism,2011,9/13/2011,2:03 PM,9/13/2011,6:21 PM,New York Power Authority,"Saranac, New York",NPCC,N/A,0,vandalism
Vandalism,2011,9/13/2011,11:43 AM,9/14/2011,4:00 PM,City of Tacoma (TPWR),"Lacamas Substation, Roy, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,9/12/2011,9:15 AM,9/12/2011,3:30 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/8/2011,7:53 PM,9/9/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,2011,9/8/2011,3:28 PM,9/10/2011,3:30 PM,WECC Reliability Coordinator,Arizona; California,WECC,7000,"2,000,000","transmission interruption, distribution interruption"
Actual Physical Attack,2011,9/7/2011,12:08 AM,9/7/2011,10:50 AM,ISO New England,Western Connecticut; New York,NPCC,0,0,"vandalism, physical"
Severe Weather,2011,9/5/2011,4:30 PM,9/7/2011,3:45 PM,Southern Company,Alabama; Georgia,SERC,177,53295,severe weather
Severe Weather,2011,9/3/2011,2:00 PM,9/8/2011,6:00 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeast Lower Peninsula, Michigan",RFC,UNK,105000,severe weather
Vandalism,2011,9/1/2011,8:13 AM,9/1/2011,4:00 PM,City of Tacoma (TPWR),"Graham Substaion, Washington",WECC,N/A,N/A,vandalism
Suspected Physical Attack,2011,8/31/2011,12:52 PM,8/31/2011,12:52 PM,Duke Energy,Southwest Ohio,RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,8/28/2011,8:55 PM,8/28/2011,11:39 PM,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0,"vandalism, physical"
Severe Weather,2011,8/28/2011,12:30 PM,8/28/2011,12:31 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,N/A,116000,severe weather
Severe Weather,2011,8/28/2011,12:10 PM,8/28/2011,12:11 PM,ISO New England,Eastern Massachusetts,NPCC,N/A,50000,severe weather
Severe Weather,2011,8/28/2011,7:40 AM,8/29/2011,7:40 AM,The United illuminating Company,Southwest Connecticut,NPCC,N/A,158000,severe weather
Severe Weather,2011,8/28/2011,5:01 AM,9/3/2011,5:01 AM,"Consolidated Edison Company of NY, Inc.",Borough's and Westshester County New York,NPCC,N/A,50000,severe weather
Severe Weather,2011,8/28/2011,5:00 AM,8/30/2011,5:00 AM,Long Island Power Authority,"Long Island, New York",NPCC,UNK,152261,severe weather
Severe Weather,2011,8/28/2011,2:58 AM,8/30/2011,2:58 AM,PPL Electric Utilities,Eastern and Northeastern Pennsylvania,RFC,110,284000,severe weather
Severe Weather,2011,8/28/2011,12:30 AM,8/30/2011,12:30 AM,FirstEnergy Corp: Jersey Central Power & Light,Northern and Central New Jersey,RFC,N/A,650000,severe weather
Severe Weather,2011,8/28/2011,12:23 AM,8/30/2011,12:23 AM,Public Service Electric and Gas Company,New Jersey,RFC,500,665000,severe weather
Severe Weather,2011,8/28/2011,7:00 AM,9/3/2011,12:01 AM,New York State Electric & Gas Corporation,New York,NPCC,UNK,99700,severe weather
Severe Weather,2011,8/28/2011,9:42 AM,8/30/2011,12:01 AM,Niagara Mohawk Power Corporation,Eastern New York,NPCC,N/A,100000,severe weather
Severe Weather,2011,8/28/2011,12:01 AM,8/30/2011,12:01 AM,Central Hudson Gas & Electric,"Mid-Hudson, New York",NPCC,N/A,180000,severe weather
Severe Weather,2011,8/27/2011,8:30 PM,9/4/2011,11:30 PM,Baltimore Gas and Electric Company,Maryland,RFC,1114,760113,severe weather
Severe Weather,2011,8/27/2011,2:57 AM,8/29/2011,11:30 PM,Progress Energy Carolinas,Eastern North Carolina,SERC,UNK,285465,severe weather
Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,10:00 PM,Exelon Corporation / PECO,Pennsylvania,RFC,N/A,264000,severe weather
Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,4:00 PM,Atlantic City Electric Company,Southern New Jersey,RFC,320,140000,severe weather
Severe Weather,2011,8/27/2011,11:05:00 p.m.,8/29/2011,3:30 PM,Pepco,District of Columbia; Maryland,RFC,N/A,220000,severe weather
Severe Weather,2011,8/27/2011,10:33 AM,8/29/2011,2:00 PM,Dominion Virginia Power,North Carolina; Virginia,SERC,UNK,"1,000,000",severe weather
Severe Weather,2011,8/27/2011,7:00 PM,8/29/2011,1:31 PM,North Carolina Eastern Municipal Power Agency,Eastern North Carolina,SERC,200,136000,severe weather
Severe Weather,2011,8/27/2011,1:00 PM,8/29/2011,1:00 PM,Delmarva Power & Light Company,Delaware; Maryland,RFC,N/A,165000,severe weather
Severe Weather,2011,8/27/2011,11:00 PM,8/29/2011,8:00 AM,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,UNK,108000,severe weather
Distribution System Interruption,2011,8/27/2011,2:00 AM,8/27/2011,5:15 AM,Town of Stantonsburg JRO,Wilson County North Carolina,SERC,2,1200,distribution interruption
Severe Weather,2011,8/26/2011,12:30 AM,8/28/2011,12:30 AM,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,N/A,200717,severe weather
Severe Weather,2011,8/25/2011,12:30 AM,8/28/2011,8:00 PM,FirstEnergy Corp: Cleveland Electric Illuminating Company,"Cleveland area, Ohio",RFC,N/A,107833,severe weather
Suspected Physical Attack,2011,8/25/2011,12:01 AM,8/25/2011,12:01 AM,Central Maine Power Company,Maine,NPCC,0,0,"vandalism, physical"
Severe Weather,2011,8/24/2011,2:51 PM,8/24/2011,10:00 PM,American Electric Power (AEP),"Arkansas, Louisiana, Texas",SPP,N/A,53064,severe weather
Public Appeal to Reduce Electricity Usage,2011,8/24/2011,1:20 PM,8/29/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Severe Weather,2011,8/24/2011,7:45 AM,8/25/2011,6:00 AM,CenterPoint Energy,"Houston area, Texas",TRE,485,79000,severe weather
Public Appeal to Reduce Electricity Usage,2011,8/23/2011,3:43 PM,8/23/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Public Appeal to Reduce Electricity Usage,2011,8/23/2011,10:30 AM,8/23/2011,4:54 PM,Southwestern Public Service Company,"Southeastern New Mexico,  Texas Panhandle",SPP,0,0,public appeal
Earthquake,2011,8/23/2011,1:51 PM,8/23/2011,1:51 PM,Dominion Virginia Power,Virginia,RFC,0,0,earthquake
Suspected Physical Attack,2011,8/22/2011,10:05 AM,8/22/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,N/A,N/A,"vandalism, physical"
Severe Weather,2011,8/21/2011,10:45 PM,8/23/2011,10:45 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,2200,931000,severe weather
Severe Weather,2011,8/20/2011,5:42 PM,8/23/2011,8:00 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeastern Michigan,RFC,254,65000,severe weather
Suspected Physical Attack,2011,8/18/2011,9:51 AM,8/18/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2011,8/15/2011,2:05 AM,8/15/2011,3:40 AM,PacifiCorp,Utah,WECC,0,0,vandalism
Severe Weather,2011,8/13/2011,4:41 PM,8/14/2011,7:00 PM,LG&E and KU Energy LLC,Kentucky,SERC,UNK,181700,severe weather
Vandalism,2011,8/9/2011,10:26 AM,8/9/2011,5:00 PM,City of Tacoma (TPWR),"Polk Substation, Tacoma, Washington",WECC,N/A,N/A,vandalism
Severe Weather,2011,8/8/2011,8:58 PM,8/10/2011,4:30 PM,Oklahoma Gas & Electric,Northern and Central Oklahoma,SPP,N/A,54000,severe weather
Vandalism,2011,8/8/2011,9:35 AM,8/8/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,N/A,N/A,vandalism
Electrical System Separation (Islanding),2011,8/8/2011,7:36 PM,8/9/2011,12:00 PM,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,14500,islanding
Suspected Physical Attack,2011,8/8/2011,9:30 AM,8/8/2011,9:30 AM,Dayton Power & Light,"Greene County, Ohio",RFC,0,0,"vandalism, physical"
Public Appeal to Reduce Electricity Usage,2011,8/4/2011,10:30 AM,8/4/2011,4:00 PM,American Electric Power (AEP),"Arkansas, Oklahoma, Texas",SPP,N/A,N/A,public appeal
Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:29 PM,8/3/2011,11:40 PM,Grand River Dam Authority,Northeast Oklahoma,SPP,300,N/A,public appeal
Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:30 PM,8/3/2011,9:00 PM,Entergy,Central Arkansas,SPP,0,0,public appeal
Fuel Supply Deficiency (Coal),2011,8/3/2011,10:00 AM,8/19/2011,10:00 AM,AES Somerset LLC,Western New York,NPCC,675,UNK,"fuel supply emergency, coal"
Severe Weather,2011,8/2/2011,9:30 PM,8/3/2011,7:00 PM,Exelon Corporation/ComEd,"Northeast, Illinois",RFC,UNK,71500,severe weather
Public Appeal to Reduce Electricity Usage,2011,8/2/2011,10:15 AM,8/3/2011,9:16 AM,Oklahoma Gas & Electric,Oklahoma,SPP,N/A,N/A,public appeal
Public Appeal to Reduce Electricity Usage,2011,8/1/2011,3:00 PM,8/5/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Vandalism,2011,8/1/2011,2:18 PM,8/1/2011,2:18 PM,PacificCorp,"Jefferson, Oregon",WECC,N/A,N/A,vandalism
Vandalism,2011,7/29/2011,11:46 AM,7/29/2011,5:00 PM,City of Tacoma (TPWR),"Fredrickson, Washington",WECC,N/A,N/A,vandalism
Severe Weather,2011,7/29/2011,8:45 PM,8/1/2011,4:24 AM,FirstEnergy Corp: Jersey Central Power & Light,Central New Jersey,RFC,N/A,67900,severe weather
Vandalism,2011,7/28/2011,7:25 PM,7/28/2011,7:25 PM,City of Tacoma (TPWR),"Spanaway, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,7/28/2011,1:32 PM,7/28/2011,1:32 PM,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,N/A,N/A,vandalism
Severe Weather,2011,7/28/2011,12:14 AM,7/29/2011,12:00 PM,Exelon Corporation/ComEd,"Entire ComEd Territory, Indiana",RFC,UNK,201000,severe weather
Fuel Supply Deficiency (Coal),2011,7/28/2011,7:26 AM,7/29/2011,7:26 AM,Owensboro Municipal Utilities,"Daviess County, Kentucky",SERC,N/A,N/A,"fuel supply emergency, coal"
Vandalism,2011,7/27/2011,12:07 PM,7/27/2011,12:08 PM,Tacoma Power (TPWR),"Fife, Washington",WECC,N/A,N/A,vandalism
Vandalism,2011,7/26/2011,12:01 PM,7/26/2011,12:01 PM,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",SPP,0,0,vandalism
Vandalism,2011,7/24/2011,2:34 PM,7/24/2011,3:47 PM,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NPCC,0,0,vandalism
Severe Weather,2011,7/23/2011,2:30 AM,7/24/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,169000,severe weather
Public Appeal to Reduce Electricity Usage,2011,7/22/2011,11:00 AM,7/22/2011,6:00 PM,Niagara Mohawk Power Corporation (dba National Grid),"Upstate, New York",NPCC,N/A,N/A,public appeal
Load Shed,2011,7/22/2011,11:34 AM,7/22/2011,5:26 PM,PJM Interconnection,Ohio,RFC,206,23000,load shedding
Public Appeal to Reduce Electricity Usage,2011,7/21/2011,1:00 PM,7/21/2011,3:00 PM,City Water Light and Power,"Springfield, Illinois",SERC,N/A,N/A,public appeal
Public Appeal to Reduce Electricity Usage,2011,7/21/2011,12:32 PM,7/22/2011,6:30 AM,Consumers Energy,"Lower Peninsula, Michigan",RFC,8881,N/A,public appeal
Vandalism,2011,7/20/2011,9:10 AM,7/20/2011,4:30 PM,Tacoma Power (TPWR),"Frederickson Substation, Washington",WECC,N/A,N/A,vandalism
